date,cases,confirmed,diff,Deaths,DeathDiff,
21-Jul-20,3198,1,21,93,0,
20-Jul-20,3177,1,80,93,1,
18-Jul-20,3097,1,57,92,0,
17-Jul-20,3040,1,57,92,1,
16-Jul-20,2983,1,26,91,0,
15-Jul-20,2957,1,35,91,0,
14-Jul-20,2922,1,31,91,1,
13-Jul-20,2891,1,41,90,0,
12-Jul-20,2850,1,35,90,1,
11-Jul-20,2815,1,22,89,0,
10-Jul-20,2793,1,23,89,0,
9-Jul-20,2770,1,19,89,2,
8-Jul-20,2751,1,28,87,0,
7-Jul-20,2723,1,38,87,0,
6-Jul-20,2685,1,19,87,2,
5-Jul-20,2666,1,15,85,0,
4-Jul-20,2651,1,14,85,0,
3-Jul-20,2637,1,19,85,0,
2-Jul-20,2618,1,16,85,1,
1-Jul-20,2602,1,34,84,0,
30-Jun-20,2568,1,30,84,4,
29-Jun-20,2538,1,11,80,0,
28-Jun-20,2527,1,26,80,0,
27-Jun-20,2501,1,11,80,0,
26-Jun-20,2490,1,20,80,1,
25-Jun-20,2470,1,17,79,1,
24-Jun-20,2453,1,17,78,2,
23-Jun-20,2436,1,13,76,1,
22-Jun-20,2423,1,-13,75,0,
21-Jun-20,2436,1,13,75,0,
20-Jun-20,2423,1,41,75,1,
18-Jun-20,2382,1,34,74,0,
17-Jun-20,2348,1,5,74,2,
16-Jun-20,2343,1,16,72,1,
15-Jun-20,2327,1,-23,71,1,2327
14-Jun-20,2350,1,15,70,1,
13-Jun-20,2335,1,-36,69,1,2335
12-Jun-20,2371,1,39,68,0,
11-Jun-20,2332,1,21,68,0,
10-Jun-20,2311,1,120,68,2,
8-Jun-20,2191,1,35,66,3,
7-Jun-20,2156,1,31,63,1,
6-Jun-20,2125,1,31,62,2,
5-Jun-20,2094,1,20,60,0,
4-Jun-20,2074,1,41,60,0,
3-Jun-20,2033,1,29,60,4,
2-Jun-20,2004,1,29,56,0,
1-Jun-20,1975,1,31,56,0,
31-May-20,1944,1,16,56,2,
30-May-20,1928,1,23,54,0,
29-May-20,1905,1,145,54,4,
26-May-20,1760,1,28,50,1,
25-May-20,1732,1,16,49,1,
24-May-20,1716,1,49,48,0,
23-May-20,1667,1,29,48,0,
22-May-20,1638,1,52,48,2,
21-May-20,1586,1,38,46,1,
20-May-20,1548,1,54,45,-1,
19-May-20,1494,1,29,46,0,
18-May-20,1465,1,49,46,4,
17-May-20,1416,1,38,42,1,
16-May-20,1378,1,26,41,0,
15-May-20,1352,1,39,41,3,
14-May-20,1313,1,28,38,0,
13-May-20,1285,1,27,38,2,
12-May-20,1258,1,24,36,2,
11-May-20,1234,1,11,34,4,
10-May-20,1223,1,18,30,2,
9-May-20,1205,1,35,28,0,
8-May-20,1170,1,32,28,2,
7-May-20,1138,1,40,26,0,
6-May-20,1098,1,37,26,2,
5-May-20,1061,1,51,24,2,
4-May-20,1010,1,18,22,1,
3-May-20,992,1,23,21,2,
2-May-20,969,1,38,19,0,
1-May-20,931,1,35,19,1,
30-Apr-20,896,1,29,18,0,
29-Apr-20,867,1,36,18,0,
28-Apr-20,831,1,29,18,1,
27-Apr-20,802,1,24,17,1,
26-Apr-20,778,1,71,16,1,
25-Apr-20,707,1,21,15,0,
24-Apr-20,686,1,44,15,1,
23-Apr-20,642,1,24,14,0,
22-Apr-20,618,1,53,14,2,
21-Apr-20,592,0,,,,
20-Apr-20,565,1,27,12,0,
19-Apr-20,538,1,23,12,1,
18-Apr-20,515,1,7,11,1,
17-Apr-20,508,1,33,10,0,
16-Apr-20,475,1,24,10,0,
15-Apr-20,451,1,27,10,1,
14-Apr-20,424,1,21,9,0,
13-Apr-20,403,1,17,9,1,
12-Apr-20,386,1,15,8,2,
11-Apr-20,371,1,20,6,0,
10-Apr-20,351,1,32,6,1,
9-Apr-20,319,1,20,5,1,
8-Apr-20,299,1,25,4,1,
7-Apr-20,274,1,38,3,0,
6-Apr-20,236,1,22,3,0,
5-Apr-20,214,1,15,3,0,
4-Apr-20,199,1,19,3,0,
3-Apr-20,180,1,14,3,,
2-Apr-20,166,1,14,,,
1-Apr-20,152,1,10,,,
31-Mar-20,142,1,25,,,
30-Mar-20,117,1,21,,,
29-Mar-20,96,1,15,,,
28-Mar-20,81,1,8,,,
27-Mar-20,73,1,11,,,
26-Mar-20,62,1,13,,,
25-Mar-20,49,1,14,,,
24-Mar-20,35,1,5,,,
23-Mar-20,30,1,4,,,
22-Mar-20,26,1,2,,,
21-Mar-20,24,1,5,,,
20-Mar-20,19,1,1,,,
19-Mar-20,18,1,2,,,
18-Mar-20,16,1,8,,,
17-Mar-20,8,0,4,,,
16-Mar-20,4,1,0,,,
15-Mar-20,4,1,3,,,
14-Mar-20,1,1,1,,,
