date,cases
5/6/2020,1098
5/5/2020,1061
5/4/2020,1010
5/3/2020,992
5/2/2020,969
5/1/2020,931
4/30/2020,896
4/29/2020,867
4/28/2020,831
4/27/2020,802
4/26/2020,778
4/25/2020,707
4/24/2020,686
4/23/2020,642
4/22/2020,618
4/21/2020,
4/20/2020,565
4/19/2020,538
4/18/2020,515
4/17/2020,508
4/16/2020,475
4/15/2020,451
4/14/2020,424
4/13/2020,403
12-Apr-20,386
11-Apr-20,371
10-Apr-20,351
9-Apr-20,319
8-Apr-20,299
7-Apr-20,274
6-Apr-20,236
5-Apr-20,214
4-Apr-20,199
3-Apr-20,180
2-Apr-20,166
1-Apr-20,152
31-Mar-20,142
30-Mar-20,117
29-Mar-20,96
28-Mar-20,81
27-Mar-20,73
26-Mar-20,62
25-Mar-20,49
24-Mar-20,35
23-Mar-20,30
22-Mar-20,26
21-Mar-20,24
20-Mar-20,19
19-Mar-20,18
18-Mar-20,16
17-Mar-20,8
16-Mar-20,4
15-Mar-20,4
14-Mar-20,1
