date,cases,diff,Deaths,DeathDiff
21-Jul-20,80172,627,3276,4
20-Jul-20,79545,860,3272,20
19-Jul-20,78685,554,3252,5
18-Jul-20,78131,925,3247,9
17-Jul-20,77206,835,3238,11
16-Jul-20,76371,707,3227,12
15-Jul-20,75664,648,3215,6
14-Jul-20,75016,756,3209,7
13-Jul-20,74260,733,3202,8
12-Jul-20,73527,418,3194,6
11-Jul-20,73109,642,3188,9
10-Jul-20,72467,557,3179,7
9-Jul-20,71910,463,3172,12
8-Jul-20,71447,586,3160,11
7-Jul-20,70861,465,3149,9
6-Jul-20,70396,492,3140,19
5-Jul-20,69904,272,3121,3
4-Jul-20,69632,291,3118,7
3-Jul-20,69341,380,3111,12
2-Jul-20,68961,538,3099,13
1-Jul-20,68423,505,3086,9
30-Jun-20,67918,359,3077,15
29-Jun-20,67559,305,3062,14
28-Jun-20,67254,477,3048,6
27-Jun-20,66777,327,3042,12
26-Jun-20,66450,335,3030,15
25-Jun-20,66115,338,3015,14
24-Jun-20,65777,440,3001,23
23-Jun-20,65337,330,2978,15
22-Jun-20,65007,404,2963,18
21-Jun-20,64603,297,2945,8
20-Jun-20,64306,350,2937,14
19-Jun-20,63956,408,2923,22
18-Jun-20,63548,319,2901,15
17-Jun-20,63229,260,2886,20
16-Jun-20,62969,560,2866,15
15-Jun-20,62409,377,2851,34
14-Jun-20,62032,331,2817,6
13-Jun-20,61701,396,2811,12
12-Jun-20,61305,692,2799,26
11-Jun-20,60613,416,2773,23
10-Jun-20,60197,732,2750,31
9-Jun-20,59465,561,2719,33
8-Jun-20,58904,500,2686,33
7-Jun-20,58404,431,2653,28
6-Jun-20,57973,491,2625,9
5-Jun-20,57482,712,2616,36
4-Jun-20,56770,912,2580,34
3-Jun-20,55858,876,2546,27
2-Jun-20,54982,807,2519,45
1-Jun-20,54175,848,2474,43
31-May-20,53327,549,2431,20
30-May-20,52778,763,2411,21
29-May-20,52015,1027,2390,42
28-May-20,50988,2565,2348,78
26-May-20,48423,736,2270,53
25-May-20,47687,535,2217,30
24-May-20,47152,839,2187,25
23-May-20,46313,818,2162,32
22-May-20,45495,1071,2130,38
21-May-20,44424,893,2092,47
20-May-20,43531,1208,2045,41
19-May-20,42323,777,2004,41
18-May-20,41546,1784,1963,60
17-May-20,39762,958,1903,27
16-May-20,38804,836,1876,34
15-May-20,37968,982,1842,50
14-May-20,36986,1083,1792,44
13-May-20,35903,1091,1748,54
12-May-20,34812,751,1694,51
11-May-20,34061,688,1643,70
10-May-20,33373,786,1573,35
9-May-20,32587,1053,1538,28
8-May-20,31534,1049,1510,57
7-May-20,30485,1111,1453,52
6-May-20,29374,1211,1401,63
5-May-20,28163,1046,1338,48
4-May-20,27117,709,1290,74
3-May-20,26408,946,1216,34
2-May-20,25462,989,1182,26
1-May-20,24473,1001,1156,58
30-Apr-20,23472,1730,1098,51
29-Apr-20,21742,893,1047,62
28-Apr-20,20849,736,985,56
27-Apr-20,20113,626,929,71
26-Apr-20,19487,906,858,31
25-Apr-20,18581,815,827,30
24-Apr-20,17766,1150,797,74
23-Apr-20,16616,879,723,43
22-Apr-20,15737,962,680,49
21-Apr-20,14775,582,631,47
20-Apr-20,14193,509,584,68
19-Apr-20,13684,854,516,30
18-Apr-20,12830,522,486,23
17-Apr-20,12308,736,463,38
16-Apr-20,11572,788,425,33
15-Apr-20,10784,752,392,43
14-Apr-20,10032,560,349,47
13-Apr-20,9472,536,302,40
12-Apr-20,8936,711,262,27
11-Apr-20,8225,531,235,29
10-Apr-20,7694,726,206,35
9-Apr-20,6968,783,171,33
8-Apr-20,6185,656,138,14
7-Apr-20,5529,1158,124,21
6-Apr-20,4371,326,103,12
5-Apr-20,4045,436,91,24
4-Apr-20,3609,484,67,14
3-Apr-20,3125,367,53,
2-Apr-20,2758,427,,
1-Apr-20,2331,346,,
31-Mar-20,1985,325,,
30-Mar-20,1660,247,,
29-Mar-20,1413,174,,
28-Mar-20,1239,247,,
27-Mar-20,992,218,,
26-Mar-20,774,194,,
25-Mar-20,580,157,,
24-Mar-20,423,74,,
23-Mar-20,349,61,,
22-Mar-20,288,44,,
21-Mar-20,244,54,,
20-Mar-20,190,41,,
19-Mar-20,149,42,,
18-Mar-20,107,22,,
17-Mar-20,85,28,,
16-Mar-20,57,20,,
15-Mar-20,37,6,,
14-Mar-20,31,5,,
13-Mar-20,26,11,,
12-Mar-20,15,3,,
11-Mar-20,12,0,,
10-Mar-20,12,3,,
9-Mar-20,9,3,,
8-Mar-20,6,1,,
7-Mar-20,5,2,,
6-Mar-20,3,0,,
5-Mar-20,3,0,,
4-Mar-20,3,3,,
3-Mar-20,0,0,,
